brand_id,brand_name,brand_maker,brand_active,brand_sts
,TIGRA,39,,
,VECTRA,39,,
,VITA,39,,
,ZAFIRA,39,,
,PORSCHE,40,,
,718 BOXTER,40,,
,718 CAYMAN,40,,
,911,40,,
,928,40,,
,944,40,,
,BOXSTER,40,,
,CAYENNE,40,,
,CAYMAN,40,,
,MACAN,40,,
,PANAMERA,40,,
,SAAB,41,,
,900 SERIES,41,,
,93 SERIES,41,,
,9000 SERIES,41,,
,95 SERIES,41,,
,VOLKSWAGEN,42,,
,A,42,,
,ARTEON,42,,
,B,42,,
,BORA,42,,
,C,42,,
,CC,42,,
,CORRADO,42,,
,CROSS GOLF,42,,
,E,42,,
,EGOLF,42,,
,EOS,42,,
,EUP,42,,
,G,42,,
,GOLF,42,,
,GOLF ALLTRACK,42,,
,GOLF CABRIO,42,,
,GOLF CABRIOLET,42,,
,GOLF GTE,42,,
,GOLF GTI,42,,
,GOLF PLUS,42,,
,GOLF R,42,,
,GOLF R VARIANT,42,,
,GOLF TOURAN,42,,
,GOLF VARIANT,42,,
,GOLF WAGON,42,,
,J,42,,
,JETTA,42,,
,L,42,,
,LUPO,42,,
,N,42,,
,NEW BEETLE,42,,
,NEW BEETLE CABRIOLET,42,,
,P,42,,
,PASSAT,42,,
,PASSAT ALLTRACK,42,,
,PASSAT CC,42,,
,PASSAT GTE,42,,
,PASSAT GTE VARIANT,42,,
,PASSAT VARIANT,42,,
,PASSAT WAGON,42,,
,POLO,42,,
,POLO GTI,42,,
,S,42,,
,SCIROCCO,42,,
,SHARAN,42,,
,T,42,,
,THE BEETLE,42,,
,THE BEETLE CABRIOLET,42,,
,TIGUAN,42,,
,TOUAREG,42,,
,U,42,,
,UP,42,,
,V,42,,
,VANAGON,42,,
,VENTO,42,,
,VOLVO,43,,
,240,43,,
,240 WAGON,43,,
,360,43,,
,480,43,,
,740,43,,
,740 ESTATE,43,,
,760,43,,
,780,43,,
,850,43,,
,850 ESTATE,43,,
,940,43,,
,940 ESTATE,43,,
,960,43,,
,960 ESTATE,43,,
,C30,43,,
,C70,43,,
,CROSS COUNTRY,43,,
,S40,43,,
,S60,43,,
,S70,43,,
,S80,43,,
,S90,43,,
,V40,43,,
,V50,43,,
,V60,43,,
,V70,43,,
,V90,43,,
,XC40,43,,
,XC60,43,,
,XC70,43,,
,XC90,43,,
,YES,44,,
,CLUB SPORT,44,,
,CUP R,44,,
,ROADSTER,44,,
,ROADSTER 1.8 TURBO,44,,
,ROADSTER 3.2,44,,
,ROASTER3.2 TURBO,44,,
,CITROEN,45,,
,AX,45,,
,BX,45,,
,C2,45,,
,C3,45,,
,C3 PLURIEL,45,,
,C4,45,,
,C4 CACTUS,45,,
,C4 PICASSO,45,,
,C5,45,,
,C5 AIRCROSS,45,,
,C6,45,,
,CHANSON,45,,
,DS3 CROSSBACK,45,,
,DS3 CABRIO,45,,
,DS4,45,,
,DS5,45,,
,DS7 CROSSBACK,45,,
,GRAND C4 PICASSO,45,,
,GRAND C4 SPACETOURER,45,,
,SAXO,45,,
,XANTIA,45,,
,XM,45,,
,XSARA,45,,
,XSARA PICASSO,45,,
,ZX,45,,
,PEUGEOT,46,,
,106,46,,
,1007,46,,
,205,46,,
,206,46,,
,207,46,,
,208,46,,
,2008,46,,
,306,46,,
,307,46,,
,308,46,,
,309,46,,
,3008,46,,
,405,46,,
,406,46,,
,407,46,,
,508,46,,
,5008,46,,
,605,46,,
,607,46,,
,RCZ,46,,
,RENAULT,47,,
,19,47,,
,21,47,,
,5,47,,
,ALPINE,47,,
,ALPINE A110,47,,
,AVANTIME,47,,
,CAPTURE,47,,
,EXPRESS,47,,
,GRAND SCENIC,47,,
,KADJAR,47,,
,KANGOO,47,,
,KANGOO BEBOP,47,,
,KOLEOS,47,,
,LAGUNA,47,,
,LUTEICA,47,,
,MEGANE,47,,
,MEGANE ESTATE,47,,
,SAFRANE,47,,
,SCENIC,47,,
,TWINGO,47,,
,WIND,47,,
,VENTURI,48,,
,ATLANTIC,48,,
,ABARTH,49,,
,124 SPIDER,49,,
,500,49,,
,500C,49,,
,595,49,,
,595C,49,,
,695 BIPOSTO,49,,
,695 RIVALE,49,,
,695C RIVALE,49,,
,695 EDIAIONE MASERATI,49,,
,695 TRIBUTO FERRARI,49,,
,GRANDE PUNTO,49,,
,PUNTO,49,,
,PUNTO EVO,49,,
,ALFA ROMEO,50,,
,4C,50,,
,A,50,,
,ALFA 145,50,,
,ALFA 147,50,,
,ALFA 155,50,,
,ALFA 156,50,,
,ALFA 156 SPORTWAGON,50,,
,G,50,,
,GIULIETTA,50,,
,J,50,,
,JULIA,50,,
,M,50,,
,MITO,50,,
,S,50,,
,STELVIO,50,,
,4C SPIDER,50,,
,,50,,
,ALFA 159,50,,
,ALFA 159 SPORTWAGON,50,,
,ALFA 164,50,,
,ALFA 166,50,,
,ALFA 75,50,,
,ALFA BRERA,50,,
,ALFA GT,50,,
,ALFA GTV,50,,
,ALFA SPIDER,50,,
,ALFA SPORTWAGON,50,,
,AUTOBIANCHI,51,,
,Y10,51,,
,FERRARI,52,,
,360,52,,
,456,52,,
,550,52,,
,575,52,,
,599,52,,
,612,52,,
,355F1,52,,
,430 SCUDERIA,52,,
,458 ITALIA,52,,
,458 SPECIALE,52,,
,458 SPIDER,52,,
,488 GTB,52,,
,488 SPIDER,52,,
,C,52,,
,CALIFORNIA,52,,
,CALIFORNIA 30,52,,
,CALIFORNIA T,52,,
,F,52,,
,F12 BERLINETTA,52,,
,F355,52,,
,F430,52,,
,F430 SPIDER,52,,
,FF,52,,
,G,52,,
,GTC4 LUSSO,52,,
,S,52,,
,SUPERAMERICA,52,,
,FIAT,53,,
,5,53,,
,500,53,,
,500C,53,,
,500S,53,,
,500X,53,,
,B,53,,
,BARCHETTA,53,,
,BRAVISSIMO,53,,
,C,53,,
,COUPE FIAT,53,,
,G,53,,
,GRANDE PUNTO,53,,
,M,53,,
,MULTIPLA,53,,
,N,53,,
,NEW BARCHETTA,53,,
,NEW MULTIPLA,53,,
,NEW PANDA,53,,
,P,53,,
,PANDA,53,,
,PUNTO,53,,
,PUNTO EVO,53,,
,T,53,,
,TEMPRA,53,,
,TIPO,53,,
,U,53,,
,UNO,53,,
,LAMBORGHINI,54,,
,A,54,,
,AVENTADOR,54,,
,D,54,,
,DIABLO,54,,
,G,54,,
,GALLARDO,54,,
,GALLARDO SPYDER,54,,
,H,54,,
,HURACAN,54,,
,M,54,,
,MURCIELAGO,54,,
,MURCIELAGO ROADSTER,54,,
,U,54,,
,URUS,54,,
,LANCIA,55,,
,DEDRA,55,,
,DELTA,55,,
,PRISMA,55,,
,THEMA,55,,
,MASERATI,56,,
,3200GT,56,,
,C,56,,
,COUPE,56,,
,G,56,,
,GHIBLI,56,,
,GRAN SPORT,56,,
,GRAN TURISMO,56,,
,GRANCABRIO,56,,
,L,56,,
,LEVANTE,56,,
,Q,56,,
,QUATTROPORTE,56,,
,S,56,,
,SPYDER,56,,
,ASTON MARTIN,57,,
,DB7,57,,
,V12 VANQUISH,57,,
,V8,57,,
,BENTLEY,58,,
,A,58,,
,ARNAGE,58,,
,AZURE,58,,
,B,58,,
,BENTAYGA,58,,
,BROOKLANDS,58,,
,C,58,,
,CONTINENTAL,58,,
,F,58,,
,FLYING SPUR,58,,
,M,58,,
,MULSANNE,58,,
,T,58,,
,TURBO,58,,
,DAIMLER,59,,
,4,59,,
,BASE GRADE,59,,
,CENTENARY,59,,
,DOUBLE SIX,59,,
,MAJESTIC,59,,
,MAJESTIC V12,59,,
,SUPER 8,59,,
,JAGUAR,60,,
,EPACE,60,,
,FPACE,60,,
,F TYPE,60,,
,SOVEREIGN,60,,
,STYPE,60,,
,XE,60,,
,XE300,60,,
,XF,60,,
,XF SPORTBRAKE,60,,
,XF300,60,,
,XJ,60,,
,XJS,60,,
,XK,60,,
,X TYPE,60,,
,X ESTATE,60,,
,LAND ROVER,61,,
,DEFENDER,61,,
,DISCOVERY,61,,
,DISCOVERY 3,61,,
,DISCOVERY 4,61,,
,DISCOVERY SPORT,61,,
,F,61,,
,FREELANDER,61,,
,FREELANDER 2,61,,
,R,61,,
,RANGE ROVER,61,,
,RANGE ROVER EVOQUE,61,,
,RANGE ROVER EVOQUE CONVERTIBLE,61,,
,RANGE ROVER EVOQUE COUPE,61,,
,RANGE ROVER SPORT,61,,
,RANGE ROVER VELAR,61,,
,RANGE ROVER VOUGE,61,,
,LOTUS,62,,
,3 ELEVEN,62,,
,340R,62,,
,ELISE,62,,
,ESPRIT,62,,
,EUROPA S,62,,
,EVORA,62,,
,EXIGE,62,,
,MG,63,,
,F,63,,
,RV8,63,,
,TF135,63,,
,TF160,63,,
,ZT,63,,
,ZTT,63,,
,MORGAN,64,,
,44,64,,
,8,64,,
,AERO 8,64,,
,PLUS 4,64,,
,ROLLSROYCE,65,,
,,65,,
,CORNICHE,65,,
,CORNICHE IV,65,,
,,65,,
,DAWN,65,,
,,65,,
,GHOST,65,,
,GHOST II,65,,
,,65,,
,PARK WARD,65,,
,PHANTOM,65,,
,PHANTOM COUPE,65,,
